Element, Nterminals, Nconductors, P_1, Q_1, ...
"Line.l36", 2, 1,     213.86,     138.87,     -213.7,   -138.545
"Line.l37", 2, 1,    13.6608,    6.83064,   -13.6578,   -6.82913
"Line.l38", 2, 1,    13.4185,    6.70785,   -13.4161,   -6.70668
"Line.l39", 2, 1,    6.66804,    3.33272,   -6.66727,   -3.33358
"Line.l40", 2, 1,    6.66806,    3.33273,   -6.66728,   -3.33359
"Line.l41", 2, 1,    207.032,    135.212,   -206.882,   -134.906
"Line.l42", 2, 1,    13.6022,    6.80134,   -13.5973,   -6.79884
"Line.l43", 2, 1,    186.612,    124.771,   -186.513,   -124.569
"Line.l44", 2, 1,    13.3986,    6.69805,   -13.3967,   -6.69711
"Line.l45", 2, 1,    173.114,    117.871,   -173.006,   -117.651
"Line.l46", 2, 1,    6.66804,    3.33282,   -6.66732,    -3.3336
"Line.l47", 2, 1,    71.0474,    50.7622,   -71.0361,     -50.74
"Line.l48", 2, 1,    66.6898,    41.6964,   -66.6745,   -41.6668
"Line.l49", 2, 1,     20.003,    9.99679,   -20.0018,     -9.996
"Line.l50", 2, 1,    6.66748,    3.32867,   -6.66734,   -3.33013
"Line.l51", 2, 1, 2.5046E-007, -0.00348816, -2.50448E-007, -1.43801E-010
"Line.l52", 2, 1,    669.212,    94.7852,   -668.325,   -92.9694
"Line.l53", 2, 1,    654.991,    86.3022,    -654.46,   -85.2143
"Line.l54", 2, 1,     13.541,    6.76779,   -13.5403,   -6.76841
"Line.l55", 2, 1,    640.919,    78.4465,   -639.495,    -75.531
"Line.l56", 2, 1,    6.66738,    3.33198,   -6.66723,   -3.33356
"Line.l57", 2, 1,    13.4202,    6.70899,   -13.4178,   -6.70782
"Line.l58", 2, 1,    626.074,     68.822,   -623.155,   -62.8451
"Line.l59", 2, 1,    6.66788,    3.33292,   -6.66728,   -3.33358
"Line.l60", 2, 1, 8.30367E-008, -0.00354954, -8.30219E-008, -5.06243E-005
"Line.l61", 2, 1,    124.219,    70.3428,   -124.051,   -70.2815
"Line.l62", 2, 1,    110.566,     63.539,   -110.473,   -63.5072
"Line.l63", 2, 1,    97.1381,    56.8398,   -96.9917,   -56.7959
"Line.l64", 2, 1,    71.9049,    45.0885,   -71.8035,   -45.0715
"Line.l65", 2, 1,    25.0112,    11.6484,    -25.003,   -11.6684
"Line.l66", 2, 1,    40.3835,    20.2066,   -40.3675,   -20.1915
"Line.l67", 2, 1,    300.233,   -108.277,    -299.98,    108.793
"Line.l68", 2, 1,    150.888,    75.6687,   -150.824,   -75.5388
"Line.l69", 2, 1,    33.6337,    16.8247,   -33.6185,   -16.8107
"Line.l70", 2, 1,    20.1661,    10.0844,   -20.1596,   -10.0796
"Line.l71", 2, 1,    13.4385,    6.71911,    -13.436,   -6.71814
"Line.l72", 2, 1,    41.7477,    20.8897,   -41.7242,   -20.8673
"Line.l73", 2, 1,    258.232,   -129.683,   -258.081,    129.991
"Line.l74", 2, 1,    28.2677,     14.139,    -28.254,    -14.127
"Line.l75", 2, 1,    13.4357,    6.71761,   -13.4321,    -6.7162
"Line.l76", 2, 1,    83.3214,   -182.266,   -83.1763,     182.56
"Line.l77", 2, 1,    88.2268,   -11.3016,   -88.1768,    11.3987
"Line.l78", 2, 1,    69.6729,   -189.312,   -69.6362,    189.386
"Line.l79", 2, 1,    14.8947,    7.44677,   -14.8941,   -7.44729
"Line.l80", 2, 1,    54.7415,   -196.833,   -54.5629,    197.195
"Line.l81", 2, 1,    41.0114,   -203.971,   -40.9434,    204.109
"Line.l82", 2, 1,     20.617,   -214.275,   -20.5131,    214.486
"Line.l83", 2, 1,    20.3264,     10.166,   -20.3128,    -10.156
"Line.l84", 2, 1,    6.92003,   -221.283,   -6.81032,    221.506
"Line.l85", 2, 1,    13.5397,    6.76955,   -13.5355,   -6.76787
"Line.l86", 2, 1,    81.4445,   -14.7648,   -81.4167,    14.8185
"Line.l87", 2, 1,    13.4604,   -11.7864,   -13.4582,    11.7877
"Line.l88", 2, 1,    54.4978,    -9.7615,   -54.4902,    9.77509
"Line.l89", 2, 1,    14.1315,    -11.447,   -14.1282,    11.4489
"Line.l90", 2, 1,    40.3587,    1.67189,   -40.3554,   -1.66674
"Line.l91", 2, 1,    13.4571,   -11.7812,   -13.4533,    11.7834
"Line.l92", 2, 1,    26.8984,    13.4479,   -26.8965,   -13.4458
"Line.l93", 2, 1,    13.4473,    6.72354,   -13.4449,   -6.72257
"Line.l94", 2, 1,    13.4492,    6.72229,   -13.4486,   -6.72324
"Line.l95", 2, 1,    6.72397,    3.36103,   -6.72353,   -3.36167
"Line.l96", 2, 1,    41.7388,    20.8724,   -41.7334,   -20.8634
"Line.l97", 2, 1,    28.2777,    14.1354,   -28.2727,   -14.1295
"Line.l98", 2, 1,    14.8247,    7.40532,   -14.8239,   -7.40608
"Line.l99", 2, 1, 6.80372E-011, -0.00610854,          0,          0
"Line.l118", 2, 1,    109.085,    54.6664,   -109.051,   -54.5994
"Line.l100", 2, 1,    33.5773,    16.7975,   -33.5648,   -16.7861
"Line.l101", 2, 1,    75.4742,    37.8019,   -75.4564,   -37.7677
"Line.l102", 2, 1,    26.8467,    13.4271,   -26.8352,   -13.4172
"Line.l103", 2, 1,    13.4132,    6.70609,    -13.407,   -6.70363
"Line.l104", 2, 1,    26.8569,     13.431,   -26.8489,   -13.4242
"Line.l105", 2, 1,    48.5996,    24.3367,   -48.5909,   -24.3213
"Line.l106", 2, 1,    13.4209,    6.71002,   -13.4158,     -6.708
"Line.l107", 2, 1,    48.5909,    24.3289,   -48.5386,   -24.2784
"Line.l108", 2, 1, 1.24867E-010, -0.0076266, 6.89229E-012, -3.40438E-013
"Line.l109", 2, 1,    35.1435,    17.5807,   -35.1252,   -17.5638
"Line.l110", 2, 1,    6.68755,     3.3412,   -6.68628,   -3.34305
"Line.l111", 2, 1,    28.4377,    14.2226,   -28.4327,   -14.2183
"Line.l112", 2, 1,    21.4119,    10.7079,      -21.4,   -10.6987
"Line.l113", 2, 1,    6.67655,    3.33678,   -6.67583,   -3.33782
"Line.l114", 2, 1,     254.61,    159.757,   -254.279,   -159.082
"Line.l116", 2, 1,    684.395,    105.238,   -682.546,   -101.452
"Line.l117", 2, 1,    492.268,   -10.8397,   -491.505,    12.4021
"Line.sw1", 2, 1,    1214.61,     431.41,   -1214.61,    -431.41
"Line.sw2", 2, 1,    684.395,    105.238,   -684.395,   -105.238
"Line.sw3", 2, 1,     254.61,    159.757,    -254.61,   -159.757
"Line.sw4", 2, 1,    492.269,   -10.8277,   -492.269,    10.8277
"Line.sw5", 2, 1,    109.085,    54.6664,   -109.085,   -54.6664
"Line.sw6", 2, 1, -4.19666E-008, 5.06498E-005, 4.19666E-008, -5.06498E-005
"Line.sw7", 2, 1,          0,          0,          0,          0
"Line.sw8", 2, 1,          0,          0,          0,          0
"Transformer.reg1a", 2, 2,    1214.61,     431.42,          0,          0,   -1214.61,    -431.41,          0,          0
"Transformer.xfm1", 2, 2, 3.13224E-013, 5.06243E-005,          0,          0, -1.26682E-013, 5.66538E-015,          0,          0
"Transformer.reg2a", 2, 2,     20.663,    10.3334,          0,          0,    -20.663,   -10.3334,          0,          0
"Transformer.reg3a", 2, 2,    26.8508,    13.4235,          0,          0,   -26.8508,   -13.4235,          0,          0
"Transformer.reg4a", 2, 2,    492.269,   -10.8277,          0,          0,   -492.268,    10.8397,          0,          0
"Capacitor.c83", 2, 1,          0,   -224.911,          0,          0
"Capacitor.c88a", 2, 1,          0,   -18.5169,          0,          0
"Capacitor.c90b", 2, 1, -1.13687E-016,   -18.5132,          0,          0
"Capacitor.c92c", 2, 1,          0,   -18.5101,          0,          0
"Load.s1a", 1, 2,    13.3331,    6.66687,          0,          0
"Load.s2b", 1, 2,    6.66674,    3.33338,          0,          0
"Load.s4c", 1, 2,    13.3331,    6.66687,          0,          0
"Load.s5c", 1, 2,    6.90319,    3.45161,          0,          0
"Load.s6c", 1, 2,    14.2894,    7.14503,          0,          0
"Load.s7a", 1, 2,    6.66677,    3.33345,          0,          0
"Load.s9a", 1, 2,    13.3332,    6.66708,          0,          0
"Load.s10a", 1, 2,    6.79634,    3.39827,          0,          0
"Load.s11a", 1, 2,    13.8533,    6.92716,          0,          0
"Load.s12b", 1, 2,    6.66679,    3.33349,          0,          0
"Load.s16c", 1, 2,    13.3333,    6.66722,          0,          0
"Load.s17c", 1, 2,    6.66683,    3.33356,          0,          0
"Load.s19a", 1, 2,    13.3333,    6.66735,          0,          0
"Load.s20a", 1, 2,     13.522,    6.76168,          0,          0
"Load.s22b", 1, 2,    13.7047,    6.85308,          0,          0
"Load.s24c", 1, 2,    13.3333,    6.66738,          0,          0
"Load.s28a", 1, 2,    13.5114,    6.75643,          0,          0
"Load.s29a", 1, 2,    13.6875,    6.84448,          0,          0
"Load.s30c", 1, 2,    13.3333,    6.66739,          0,          0
"Load.s31c", 1, 2,    6.66687,    3.33364,          0,          0
"Load.s32c", 1, 2,    6.66688,    3.33365,          0,          0
"Load.s33a", 1, 2,    13.5041,    6.75275,          0,          0
"Load.s34c", 1, 2,    13.9082,     6.9547,          0,          0
"Load.s35a", 1, 2,    13.3333,    6.66738,          0,          0
"Load.s37a", 1, 2,    13.6571,    6.82926,          0,          0
"Load.s38b", 1, 2,    6.74764,    3.37403,          0,          0
"Load.s39b", 1, 2,    6.66688,    3.33365,          0,          0
"Load.s41c", 1, 2,    6.66688,    3.33365,          0,          0
"Load.s42a", 1, 2,    6.66689,    3.33366,          0,          0
"Load.s43b", 1, 2,    13.5964,    6.79898,          0,          0
"Load.s45a", 1, 2,    6.72825,    3.36435,          0,          0
"Load.s46a", 1, 2,     6.6669,    3.33368,          0,          0
"Load.s47", 1, 2,    35.2664,    25.1921,          0,          0
"Load.s48", 1, 2,     71.031,    50.7401,          0,          0
"Load.s49a", 1, 2,    11.6673,     8.3341,          0,          0
"Load.s49b", 1, 2,    23.3335,    16.6686,          0,          0
"Load.s49c", 1, 2,    11.6673,    6.66742,          0,          0
"Load.s50c", 1, 2,    13.3334,    6.66748,          0,          0
"Load.s51a", 1, 2,     6.6669,    3.33369,          0,          0
"Load.s52a", 1, 2,    13.3333,    6.66729,          0,          0
"Load.s53a", 1, 2,    13.3333,    6.66734,          0,          0
"Load.s55a", 1, 2,    6.87259,    3.43651,          0,          0
"Load.s56b", 1, 2,    6.66685,    3.33363,          0,          0
"Load.s58b", 1, 2,    6.74949,    3.37499,          0,          0
"Load.s59b", 1, 2,    6.66687,    3.33367,          0,          0
"Load.s60a", 1, 2,    6.66689,    3.33374,          0,          0
"Load.s62c", 1, 2,    13.4837,    6.74275,          0,          0
"Load.s63a", 1, 2,    13.3334,    6.66761,          0,          0
"Load.s64b", 1, 2,    25.0848,    11.7078,          0,          0
"Load.s65a", 1, 2,    11.6973,    8.35566,          0,          0
"Load.s65b", 1, 2,    11.6973,    8.35566,          0,          0
"Load.s65c", 1, 2,    23.3936,    16.7117,          0,          0
"Load.s66c", 1, 2,     25.001,    11.6687,          0,          0
"Load.s68a", 1, 2,    6.73321,    3.36692,          0,          0
"Load.s69a", 1, 2,    13.4513,    6.72657,          0,          0
"Load.s70a", 1, 2,    6.72063,    3.36063,          0,          0
"Load.s71a", 1, 2,     13.435,    6.71841,          0,          0
"Load.s73c", 1, 2,    13.4554,    6.72863,          0,          0
"Load.s74c", 1, 2,    14.8172,    7.40963,          0,          0
"Load.s75c", 1, 2,    13.4311,    6.71647,          0,          0
"Load.s76a", 1, 2,    37.0827,    28.2564,          0,          0
"Load.s76b", 1, 2,    24.7215,    17.6605,          0,          0
"Load.s76c", 1, 2,    24.7215,    17.6605,          0,          0
"Load.s77b", 1, 2,    13.5023,    6.75211,          0,          0
"Load.s79a", 1, 2,     14.893,    7.44756,          0,          0
"Load.s80b", 1, 2,    13.5504,    6.77616,          0,          0
"Load.s82a", 1, 2,     13.592,    6.79693,          0,          0
"Load.s83c", 1, 2,    6.80977,    3.40521,          0,          0
"Load.s84c", 1, 2,    6.77252,    3.38659,          0,          0
"Load.s85c", 1, 2,    13.5344,    6.76815,          0,          0
"Load.s86b", 1, 2,     6.7317,    3.36617,          0,          0
"Load.s87b", 1, 2,    13.4574,    6.72964,          0,          0
"Load.s88a", 1, 2,    13.4571,     6.7295,          0,          0
"Load.s90b", 1, 2,    14.1271,    7.06456,          0,          0
"Load.s92c", 1, 2,    13.4522,    6.72705,          0,          0
"Load.s94a", 1, 2,    13.4438,    6.72286,          0,          0
"Load.s95b", 1, 2,    6.72406,    3.36235,          0,          0
"Load.s96b", 1, 2,    6.72298,    3.36182,          0,          0
"Load.s98a", 1, 2,    13.4546,    6.72824,          0,          0
"Load.s99b", 1, 2,     13.447,    6.72441,          0,          0
"Load.s100c", 1, 2,    14.8229,    7.41246,          0,          0
"Load.s102c", 1, 2,    6.71759,    3.35912,          0,          0
"Load.s103c", 1, 2,    13.4209,    6.71139,          0,          0
"Load.s104c", 1, 2,    13.4059,    6.70391,          0,          0
"Load.s106b", 1, 2,    13.4269,    6.71442,          0,          0
"Load.s107b", 1, 2,    13.4147,    6.70828,          0,          0
"Load.s109a", 1, 2,    13.3939,    6.69793,          0,          0
"Load.s111a", 1, 2,    6.68568,    3.34318,          0,          0
"Load.s112a", 1, 2,    7.02021,    3.51046,          0,          0
"Load.s113a", 1, 2,    14.7223,    7.36221,          0,          0
"Load.s114a", 1, 2,    6.67523,    3.33796,          0,          0
