Bus, BasekV, Node1, Magnitude1, Angle1, pu1
"77", 4.16, 1,    2536.04,   -3.0,    1.0559
"86", 4.16, 1,    2532.35,   -3.0,    1.0544
"78", 4.16, 1,    2536.77,   -3.0,    1.0562
"79", 4.16, 1,    2536.62,   -3.0,    1.0561
"80", 4.16, 1,    2540.56,   -3.1,    1.0578
"81", 4.16, 1,    2542.06,   -3.1,    1.0584
"82", 4.16, 1,    2544.45,   -3.1,    1.0594
"84", 4.16, 1,    2540.01,   -3.1,    1.0576
"83", 4.16, 1,    2546.99,   -3.2,    1.0605
"85", 4.16, 1,    2539.05,   -3.1,    1.0572
"87", 4.16, 1,    2531.82,   -3.0,    1.0541
"88", 4.16, 1,    2531.79,   -3.0,    1.0541
"89", 4.16, 1,     2531.6,   -3.0,    1.0541
"90", 4.16, 1,    2531.54,   -3.1,     1.054
"91", 4.16, 1,    2531.38,   -3.1,     1.054
"92", 4.16, 1,    2531.33,   -3.1,    1.0539
"93", 4.16, 1,     2531.1,   -3.1,    1.0538
"94", 4.16, 1,    2530.54,   -3.1,    1.0536
"95", 4.16, 1,    2530.91,   -3.1,    1.0538
"96", 4.16, 1,    2530.71,   -3.1,    1.0537
"98", 4.16, 1,    2531.56,   -2.8,     1.054
"99", 4.16, 1,    2530.84,   -2.8,    1.0537
"100", 4.16, 1,    2530.63,   -2.8,    1.0536
"450", 4.16, 1,    2530.63,   -2.8,    1.0536
"197", 4.16, 1,    2532.09,   -2.8,    1.0543
"101", 4.16, 1,    2530.83,   -2.8,    1.0537
"102", 4.16, 1,    2529.69,   -2.8,    1.0533
"105", 4.16, 1,    2529.86,   -2.8,    1.0533
"103", 4.16, 1,    2528.38,   -2.8,    1.0527
"104", 4.16, 1,    2526.98,   -2.8,    1.0521
"106", 4.16, 1,    2528.96,   -2.8,     1.053
"108", 4.16, 1,    2529.13,   -2.8,     1.053
"107", 4.16, 1,     2527.8,   -2.8,    1.0525
"109", 4.16, 1,    2525.85,   -2.9,    1.0517
"300", 4.16, 1,    2529.13,   -2.8,     1.053
"110", 4.16, 1,    2524.26,   -2.9,     1.051
"111", 4.16, 1,    2523.69,   -2.9,    1.0508
"112", 4.16, 1,    2523.73,   -2.9,    1.0508
"113", 4.16, 1,    2522.04,   -2.9,    1.0501
"114", 4.16, 1,    2521.71,   -2.9,    1.0499
"135", 4.16, 1,    2435.78,   -1.5,    1.0142
"152", 4.16, 1,    2452.06,   -1.3,    1.0209
"160R", 4.16, 1,    2537.59,   -2.6,    1.0565
"150R", 4.16, 1,    2506.85,    0.0,    1.0437
"160", 4.16, 1,    2416.75,   -2.6,    1.0062
"61S", 4.16, 1,    2416.75,   -2.6,    1.0062
"300_OPEN", 4.16, 1,     2418.9,   -1.8,    1.0071
"94_OPEN", 4.16, 1,    2437.02,   -1.8,    1.0147
"610", 0.48, 1,    278.855,   -2.6,    1.0062
